ALACHUA,"1,300","1,300",100%,"4,880","3,056",63%,,,,,,,,,,"23,226","19,957",86%,"100,626","42,321",42%,"66,634","130,032",49%,51%
BAKER,"5,400","4,460",83%,,,,,,,,,,,,,"5,963","5,832",98%,,,,"10,292","11,363",9%,91%
BAY,,,,"2,273","1,241",55%,"101,709",101,0%,,,,,,,"11,647",161,1%,,,,"1,503","115,629",99%,1%
BRADFORD,"4,100","3,870",94%,,,,,,,,,,,,,"5,864","4,472",76%,"2,685","2,685",100%,"11,027","12,649",13%,87%
BREVARD,"307,600","225,490",73%,16,9,56%,,,,,,,,,,"3,028",127,4%,,,,"225,626","310,644",27%,73%
BROWARD,"933,300","629,080",67%,,,,,,,,,,,,,54,54,100%,,,,"629,134","933,354",33%,67%
CALHOUN,,,,,,,,,,,,,925,254,27%,"1,697",262,15%,"1,314",300,23%,816,"3,936",79%,21%
CHARLOTTE,"114,100","65,870",58%,,,,,,,,,,,,,858,840,98%,,,,"66,710","114,958",42%,58%
CITRUS,,,,"46,697","33,755",72%,,,,,,,,,,"41,017","35,310",86%,,,,"69,065","87,714",21%,79%
CLAY,900,900,100%,,,,,,,,,,,,,"80,056","52,778",66%,"13,883","6,042",44%,"59,720","94,839",37%,63%
COLLIER,"210,700","200,930",95%,,,,,,,,,,,,,"35,211","35,211",100%,,,,"236,141","245,911",4%,96%
COLUMBIA,"14,000","14,000",100%,566,323,57%,,,,,,,,,,"18,797","16,411",87%,,,,"30,734","33,363",8%,92%
DESOTO,"16,600","13,960",84%,,,,,,,,,,,,,965,842,87%,,,,"14,802","17,565",16%,84%
DIXIE,,,,"1,800","1,057",59%,,,,,,,,,,"8,217","5,733",70%,,,,"6,790","10,017",32%,68%
DUVAL,10,10,100%,,,,,,,,,,,,,17,17,100%,"449,815","252,591",56%,"252,618","449,842",44%,56%
ESCAMBIA,,,,,,,"152,699",78,0%,,,,,,,"3,437",0,0%,,,,78,"156,136",100%,0%
FLAGLER,"58,000","49,640",86%,16,13,81%,,,,,,,,,,3,3,100%,,,,"49,656","58,019",14%,86%
FRANKLIN,,,,"10,202","5,775",57%,,,,,,,,,,,,,,,,"5,775","10,202",43%,57%
GADSDEN,,,,,,,,,,,,,,,,"14,972","8,654",58%,"7,322",136,2%,"8,790","22,294",61%,39%
GILCHRIST,,,,"1,637",936,57%,,,,,,,,,,"7,263","5,678",78%,,,,"6,614","8,900",26%,74%
GLADES,"3,400","2,420",71%,,,,,,,,,,,,,"2,942","2,940",100%,912,912,100%,"6,272","7,254",14%,86%
GULF,,,,"6,470","3,602",56%,,,,,,,,,,"4,439",835,19%,,,,"4,437","10,909",59%,41%
HAMILTON,,,,"2,927","1,723",59%,,,,,,,,,,"3,785","3,125",83%,,,,"4,848","6,712",28%,72%
HARDEE,40,30,75%,"2,671","2,671",100%,,,,,,,,,,"6,846","5,840",85%,"2,734","2,734",100%,"11,275","12,291",8%,92%
HENDRY,"9,700","9,700",100%,,,,,,,,,,,,,"4,778","4,778",100%,"4,272","4,272",100%,"18,750","18,750",0%,100%
HERNANDO,,,,"11,341","7,618",67%,,,,,,,,,,"83,599","50,280",60%,,,,"57,898","94,940",39%,61%
HIGHLANDS,600,420,70%,"54,209","53,952",100%,,,,,,,,,,"7,647","7,638",100%,,,,"62,010","62,456",1%,99%
HILLSBOROUGH,,,,25,19,76%,,,,"631,780","262,506",42%,,,,"1,148",684,60%,,,,"263,209","632,953",58%,42%
HOLMES,,,,,,,"2,581",1,0%,,,,,,,"7,842",57,1%,,,,58,"10,423",99%,1%
INDIAN RIVER,"56,300","42,240",75%,,,,,,,,,,,,,215,172,80%,"35,030","25,790",74%,"68,202","91,545",25%,75%
JACKSON,,,,,,,"1,398",15,1%,,,,"10,884",405,4%,"13,879",701,5%,,,,"1,121","26,161",96%,4%
JEFFERSON,,,,"4,639","2,659",57%,,,,,,,,,,"3,474","3,410",98%,,,,"6,069","8,113",25%,75%
LAFAYETTE,,,,845,489,58%,,,,,,,,,,"3,200","3,183",99%,,,,"3,672","4,045",9%,91%
LAKE,,,,"84,056","56,989",68%,,,,,,,,,,"66,105","40,965",62%,"27,706","21,353",77%,"119,307","177,867",33%,67%
LEE,"259,900","219,570",84%,,,,,,,,,,,,,"179,084","135,029",75%,,,,"354,599","438,984",19%,81%
LEON,,,,61,34,56%,,,,,,,,,,"26,491","13,936",53%,"117,253","44,845",38%,"58,815","143,805",59%,41%
LEVY,,,,"3,702","2,303",62%,,,,,,,,,,"19,546","14,213",73%,"1,462","1,462",100%,"17,978","24,710",27%,73%
LIBERTY,,,,,,,,,,,,,769,1,0%,"3,289","1,470",45%,,,,"1,471","4,058",64%,36%
MADISON,,,,"3,811","2,243",59%,,,,,,,,,,"6,897","4,647",67%,,,,"6,890","10,708",36%,64%
MANATEE,"184,900","106,620",58%,,,,,,,,,,,,,"24,857","6,245",25%,,,,"112,865","209,757",46%,54%
MARION,,,,"65,525","54,513",83%,,,,,,,,,,"73,611","49,184",67%,"49,955","40,742",82%,"144,439","189,091",24%,76%
MARTIN,"93,400","69,870",75%,,,,,,,,,,,,,,,,,,,"69,870","93,400",25%,75%
