percentage,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
income_pct_year1993,8289.651,12899.67,19117.31,25026.97,31334.91,37546.11,43536.39,49365.43,56363.5,62257.04,68852,76865.91,83847.87,92995.34,101810.7,114283,128861.3,150281.2,185434.4
income_pct_year1994,8340.824,14144.98,19009.29,25146.63,30961.79,36148.29,41479.38,47621.44,53436.6,59723.26,66044.49,73962.54,81726.56,89584.89,99800.71,111800.4,128581,150785.5,184510.3
income_pct_year1995,8182.028,13207.13,19874.13,27135.84,32955.9,37384.77,43307.27,49183.89,55074.28,62068.45,68376.2,75454.44,83382.69,92307.7,102605.6,114811.3,136082.8,158739.3,194070.9
income_pct_year1996,8224.844,13604.11,19247.74,25136.42,31188.46,37485.56,44133.16,50347.09,55992.2,62433.36,68495.8,76661.24,84951.43,94307.97,104372.9,115961.7,131339.1,155672,202999.8
income_pct_year1997,8707.429,14561.72,19359.52,26122.29,31859.03,37380.99,43537.14,50793.34,57672.21,63944.46,71206.45,77690.59,86087.45,94217.28,105954.9,117114.9,136561.5,163264.3,206715.8
income_pct_year1998,9003.533,15233.12,21436.98,27959.54,33830.42,39415.47,45830.84,52477.74,58880.25,65454.26,72239.78,79031.02,90035.34,100039.3,113298.8,126232.4,145485.7,171254.4,230147.5
income_pct_year1999,8290.083,13426.63,19607.84,27969.24,34681.86,40555.4,47487.57,53766.67,60289.1,68418.36,75568.7,83907.72,91193.71,103206.5,114585.8,128255.8,144321.3,170612.4,227949.3
income_pct_year2000,8020.041,13529.08,19465.64,26460.18,33500.71,39241.11,46161.23,52763.43,59529.32,66713.27,73868.8,83040.16,92441.52,102821,114997.2,131605.5,149907.7,177760,237841.3
income_pct_year2001,8368.78,14474.31,21774.62,27586.71,33551.44,40272.78,46317.78,52635.15,58223.55,65313.33,72397.84,81492.97,89959.13,99471.38,110249.5,125268.5,142374.5,167344,227403.2
income_pct_year2002,8563.725,14189.98,20453.47,26939.73,33674.66,40533.93,46547.45,52809.64,59785.47,66639.55,74540.15,83602.52,93097.48,103627.3,115861.5,131534.5,151423.3,180197,236406.5
income_pct_year2003,8482.782,14905.64,20528.33,27575.38,33677.91,39501.91,46155.2,52471.71,59083.21,66950.68,74576.32,81948.74,91602.66,101350.3,113822.5,127882.4,148186.6,177252.2,234588.2
income_pct_year2004,8509.031,14441.92,21901.51,28363.44,34406.08,40611.51,47428.6,54260.49,61659.64,69428.76,76342.04,84473.72,93969.3,104855.9,116766.1,129739.3,152348.7,179490,238072.8
income_pct_year2005,8370.32,15509.43,22667.63,28044.63,33214.04,38711.54,45309.01,51858.77,59193.53,65563.14,73012.44,81147.73,90603.71,100214.8,111548.6,125625.2,143164,170520.2,218327.5
income_pct_year2006,8363.343,15210.28,22279.13,28894.91,34725.9,40851.62,46580.9,53120.4,59336.27,66111.55,73739.8,80964.69,90585.54,102100.7,115219,128293.4,146786.1,173486.2,231274.8
income_pct_year2007,8628.813,15700.4,22470.87,28630.13,35732.05,41571.11,47202.31,54331.19,60408.44,67412.61,74962.82,83661.29,92248.53,103366,115095.8,129737.8,149543.6,177350.2,225832.2
income_pct_year2008,8701.341,15500.07,21668.94,27121.34,34093.24,41028.34,46342.21,53093.33,59524.1,66026.29,73593.43,81170.3,90909.53,101688.8,112994,129870.8,147593.8,174790.9,222596.3
income_pct_year2009,8781.396,14871.27,21714.63,27143.29,33068.13,39222.05,45926.45,52894.67,59715.23,66229.63,74910.05,82281.08,92287.18,103203.1,114992,130710.1,149288.1,177094.8,225376.2
income_pct_year2010,8896.235,14207.48,20964.05,26705.8,32203.99,38456.35,44654.23,51291.15,58755.96,65720.83,74155.59,81576.59,91227,101599.5,113258.2,128187.8,145662,173938.1,223190
income_pct_year2011,8326.954,12912.99,18311.01,24856.58,31070.72,36870.59,43281.52,49804.3,56816.96,63153.32,71253.45,79159.91,88577.45,98548.05,110390.1,126182.4,145117.9,172245.7,219241.2
income_pct_year2012,8117.108,12132.03,17411.2,23352.92,29743.12,35520.46,41600.18,48702.65,55042.11,61903.1,69299.81,77112.53,85819.14,95578.95,107870.3,124802.6,144643.8,169418.3,221698.5
